"Technology","Age","CustomerSince","SupportCallsLastYear","AverageBill","ChurnIndicator"
"4G",43,2014-02-27 23:27:16,0,38,0.009
"fiber",21,2011-12-14 23:27:16,0,70,0.014
"4G",17,2013-09-20 22:27:16,0,47,0.009
"landline",56,2015-07-02 22:27:16,0,12,0.002
"phone",22,2010-10-23 22:27:16,1,42,0.031
"4G",13,2010-09-17 22:27:16,0,60,0.017
"phone",2,2010-12-12 23:27:16,1,30,0.042
"fiber",61,2015-07-20 22:27:16,2,34,0.009
"4G",77,2013-05-05 22:27:16,0,43,0.011
"fiber",55,2015-05-14 22:27:16,1,100,0.003
"4G",30,2013-02-23 23:27:16,4,104,0.026
"landline",78,2012-10-04 22:27:16,1,61,0.007
"4G",19,2013-02-21 23:27:16,2,20,0.08
"landline",27,2010-12-17 23:27:16,3,75,0.017
"landline",61,2015-01-13 23:27:16,6,28,0.014
"phone",19,2012-07-05 22:27:16,3,60,0.029
"phone",43,2012-09-19 22:27:16,0,27,0.015
"landline",19,2012-04-16 22:27:16,0,62,0.004
"4G",4,2014-02-16 23:27:16,3,102,0.014
"fiber",68,2010-12-11 23:27:16,0,71,0.018
"fiber",27,2012-06-16 22:27:16,3,88,0.04
"phone",51,2014-09-10 22:27:16,1,94,0.003
"phone",30,2013-07-22 22:27:16,0,35,0.009
"landline",40,2012-12-04 23:27:16,1,35,0.011
"phone",75,2011-04-11 22:27:16,0,68,0.009
"4G",31,2014-02-17 23:27:16,0,16,0.022
"fiber",6,2015-05-18 22:27:16,0,36,0.004
"fiber",10,2013-10-16 22:27:16,2,57,0.029
"fiber",15,2011-02-22 23:27:16,1,30,0.081
"4G",62,2014-02-19 23:27:16,1,14,0.049
"4G",57,2011-06-13 22:27:16,0,63,0.014
"4G",56,2015-04-21 22:27:16,1,82,0.003
"phone",2,2012-05-07 22:27:16,6,104,0.031
"phone",44,2012-12-26 23:27:16,0,48,0.008
"4G",5,2013-03-02 23:27:16,0,100,0.005
"4G",59,2013-12-06 23:27:16,9,82,0.047
"4G",46,2014-07-06 22:27:16,0,106,0.003
"4G",8,2012-06-18 22:27:16,1,57,0.023
"phone",15,2013-11-12 23:27:16,3,38,0.028
"landline",70,2012-11-09 23:27:16,1,90,0.004
"4G",66,2014-07-02 22:27:16,3,76,0.014
"phone",79,2015-03-10 23:27:16,0,100,0.001
"fiber",13,2015-05-15 22:27:16,2,107,0.004
"fiber",68,2014-10-15 22:27:16,1,80,0.007
"phone",10,2014-05-10 22:27:16,0,51,0.004
"4G",80,2013-01-02 23:27:16,0,50,0.011
"4G",58,2013-09-09 22:27:16,5,85,0.03
"4G",77,2012-03-24 23:27:16,0,95,0.007
"phone",48,2014-04-10 22:27:16,5,55,0.023
"landline",26,2012-08-23 22:27:16,9,96,0.022
"landline",52,2014-12-08 23:27:16,0,102,0.001
"4G",10,2015-11-30 23:27:16,1,31,0.0
"landline",16,2014-07-19 22:27:16,1,39,0.005
"phone",21,2014-09-22 22:27:16,0,57,0.003
"fiber",27,2011-08-11 22:27:16,5,10,0.658
"4G",25,2013-07-15 22:27:16,2,44,0.031
"phone",63,2014-06-04 22:27:16,9,25,0.077
"4G",28,2013-01-26 23:27:16,0,10,0.055
"fiber",40,2015-08-04 22:27:16,0,71,0.001
"landline",21,2012-06-11 22:27:16,1,50,0.009
"4G",6,2015-03-03 23:27:16,1,40,0.007
"phone",78,2010-07-20 22:27:16,0,83,0.008
"4G",63,2015-01-17 23:27:16,2,28,0.018
"landline",15,2013-05-19 22:27:16,5,100,0.01
"phone",4,2013-09-07 22:27:16,1,102,0.006
"fiber",47,2015-10-22 22:27:16,0,47,0.001
"landline",49,2012-04-20 22:27:16,0,87,0.003
"4G",51,2015-12-06 23:27:16,0,82,0.0
"landline",57,2015-03-31 22:27:16,0,52,0.001
"phone",23,2010-10-03 22:27:16,0,33,0.02
"4G",55,2013-12-19 23:27:16,1,105,0.007
"phone",20,2014-05-31 22:27:16,0,38,0.005
"landline",53,2013-04-09 22:27:16,6,84,0.014
"phone",43,2013-11-07 23:27:16,0,83,0.003
"4G",51,2013-03-31 22:27:16,0,72,0.007
"landline",33,2014-06-25 22:27:16,1,33,0.006
"phone",37,2013-09-04 22:27:16,1,65,0.009
"phone",66,2012-09-20 22:27:16,4,63,0.032
"landline",16,2013-10-21 22:27:16,0,28,0.005
"landline",30,2013-06-19 22:27:16,1,77,0.004
"phone",58,2013-05-23 22:27:16,0,71,0.005
"phone",26,2014-05-29 22:27:16,0,107,0.002
"4G",53,2015-02-20 23:27:16,0,43,0.004
"4G",49,2012-06-18 22:27:16,6,25,0.185
"landline",41,2015-12-02 23:27:16,0,95,0.0
"phone",22,2010-07-22 22:27:16,1,59,0.023
"phone",30,2015-07-28 22:27:16,10,57,0.009
"fiber",59,2014-06-27 22:27:16,0,31,0.012
"landline",10,2014-05-06 22:27:16,1,79,0.003
"4G",8,2012-06-07 22:27:16,1,96,0.014
"landline",75,2010-08-10 22:27:16,4,80,0.021
"phone",4,2014-10-17 22:27:16,2,29,0.015
"landline",46,2011-07-21 22:27:16,1,78,0.007
"4G",62,2015-11-03 23:27:16,0,36,0.001
"4G",24,2015-03-12 23:27:16,2,95,0.005
"landline",47,2012-04-04 22:27:16,1,104,0.004
"4G",8,2014-09-09 22:27:16,1,14,0.034
"fiber",37,2014-02-15 23:27:16,1,13,0.071
"phone",5,2015-12-09 23:27:16,2,26,0.0
"phone",40,2012-02-03 23:27:16,3,65,0.03
"phone",15,2014-08-06 22:27:16,4,61,0.014
"4G",61,2013-01-03 23:27:16,4,105,0.027
"phone",63,2012-10-13 22:27:16,0,94,0.004
"phone",49,2014-08-10 22:27:16,0,78,0.002
"landline",34,2014-03-16 23:27:16,1,109,0.002
"landline",74,2013-11-18 23:27:16,5,33,0.024
"landline",10,2013-04-02 22:27:16,2,40,0.013
"4G",23,2012-08-08 22:27:16,3,93,0.027
"phone",38,2011-04-23 22:27:16,0,58,0.01
"landline",45,2012-12-09 23:27:16,0,41,0.005
"4G",16,2013-08-23 22:27:16,6,59,0.052
"phone",62,2014-04-07 22:27:16,9,71,0.03
"landline",31,2010-10-07 22:27:16,0,58,0.006
"phone",4,2013-09-06 22:27:16,1,24,0.024
"landline",20,2012-08-19 22:27:16,0,69,0.003
"phone",31,2013-09-30 22:27:16,4,106,0.013
"fiber",17,2011-10-09 22:27:16,3,18,0.235
"4G",32,2011-10-09 22:27:16,1,46,0.034
"4G",46,2013-04-21 22:27:16,0,25,0.02
"fiber",39,2014-05-16 22:27:16,1,56,0.014
"4G",72,2010-07-09 22:27:16,0,103,0.01
"landline",52,2013-03-19 23:27:16,4,47,0.018
"fiber",75,2014-04-11 22:27:16,3,68,0.025
"phone",69,2010-08-12 22:27:16,2,46,0.044
"4G",46,2011-01-16 23:27:16,0,93,0.01
"landline",75,2015-04-11 22:27:16,0,33,0.001
"fiber",76,2014-08-18 22:27:16,1,75,0.009
"phone",58,2014-08-04 22:27:16,0,38,0.005
"4G",42,2015-11-25 23:27:16,2,74,0.0
"phone",46,2013-02-24 23:27:16,7,83,0.034
"fiber",57,2012-11-28 23:27:16,0,61,0.013
"4G",36,2015-06-15 22:27:16,2,48,0.006
"4G",49,2015-04-16 22:27:16,6,80,0.011
"phone",39,2012-07-02 22:27:16,8,88,0.045
"landline",33,2012-09-23 22:27:16,0,78,0.003
"fiber",1,2011-07-03 22:27:16,0,74,0.015
"phone",17,2014-04-14 22:27:16,7,11,0.153
"fiber",33,2015-03-18 23:27:16,0,42,0.004
"4G",75,2013-10-31 23:27:16,1,78,0.01
"phone",80,2011-05-28 22:27:16,3,40,0.057
"fiber",45,2013-10-06 22:27:16,1,17,0.065
"phone",4,2011-05-22 22:27:16,0,91,0.006
"landline",74,2012-10-27 22:27:16,1,40,0.01
"landline",27,2011-01-07 23:27:16,2,95,0.01
"4G",52,2014-12-06 23:27:16,6,91,0.015
"phone",28,2014-04-06 22:27:16,9,92,0.023
"phone",11,2012-01-09 23:27:16,4,58,0.043
"phone",49,2015-08-22 22:27:16,0,58,0.001
"phone",44,2015-04-17 22:27:16,4,104,0.004
"landline",39,2013-06-30 22:27:16,6,47,0.023
"4G",10,2011-03-08 23:27:16,1,62,0.029
"fiber",21,2012-11-30 23:27:16,4,97,0.04
"landline",42,2014-01-20 23:27:16,7,60,0.016
"4G",38,2015-03-25 23:27:16,0,85,0.002
"fiber",66,2013-10-23 22:27:16,0,17,0.032
"4G",6,2015-03-20 23:27:16,0,77,0.002
"landline",58,2012-06-17 22:27:16,0,103,0.002
"4G",65,2015-07-07 22:27:16,0,92,0.001
"phone",63,2011-03-13 23:27:16,0,37,0.016
"landline",36,2011-02-27 23:27:16,1,59,0.01
"4G",74,2011-11-14 23:27:16,1,107,0.014
"4G",22,2013-02-15 23:27:16,1,82,0.013
"4G",18,2015-03-25 23:27:16,1,70,0.004
"phone",76,2014-10-26 23:27:16,3,103,0.006
"phone",35,2011-10-25 22:27:16,2,16,0.098
"4G",42,2013-08-16 22:27:16,7,101,0.035
"phone",49,2010-08-30 22:27:16,0,97,0.007
"phone",74,2012-08-15 22:27:16,0,109,0.004
"fiber",6,2012-02-01 23:27:16,0,87,0.011
"fiber",36,2011-03-08 23:27:16,0,108,0.011
"4G",51,2011-04-11 22:27:16,0,68,0.013
"phone",63,2014-07-08 22:27:16,2,98,0.006
"4G",56,2015-03-22 23:27:16,3,21,0.026
"phone",65,2010-07-26 22:27:16,6,80,0.059
"phone",19,2011-03-21 23:27:16,0,93,0.006
"phone",16,2013-01-16 23:27:16,6,110,0.023
"fiber",79,2014-01-25 23:27:16,0,93,0.005
"fiber",55,2012-05-02 22:27:16,6,59,0.108
"phone",21,2012-04-16 22:27:16,7,71,0.052
"4G",4,2010-10-12 22:27:16,3,39,0.1
"landline",50,2012-12-23 23:27:16,0,14,0.013
"landline",9,2014-08-16 22:27:16,1,22,0.008
"fiber",63,2011-01-11 23:27:16,2,100,0.037
"landline",13,2012-02-11 23:27:16,1,84,0.006
"landline",61,2014-07-28 22:27:16,2,44,0.006
"phone",22,2012-06-29 22:27:16,4,13,0.168
"phone",4,2010-09-21 22:27:16,0,48,0.014
"4G",8,2010-11-15 23:27:16,0,108,0.009
"landline",63,2015-01-30 23:27:16,0,106,0.001
"phone",74,2012-08-25 22:27:16,2,47,0.027
"4G",27,2015-10-10 22:27:16,0,84,0.0
"4G",61,2012-06-09 22:27:16,6,96,0.048
"4G",34,2013-01-18 23:27:16,1,68,0.016
"landline",57,2013-07-27 22:27:16,8,75,0.018
"fiber",18,2010-09-22 22:27:16,1,17,0.155
"4G",31,2010-10-23 22:27:16,1,11,0.177
"fiber",11,2013-06-10 22:27:16,6,96,0.046
"phone",46,2014-10-30 23:27:16,1,54,0.005
"landline",70,2012-05-28 22:27:16,1,110,0.004
"landline",38,2012-02-18 23:27:16,9,99,0.024
"4G",37,2013-08-31 22:27:16,0,92,0.005
"phone",11,2011-09-05 22:27:16,5,51,0.063
"fiber",22,2014-07-21 22:27:16,3,32,0.044
"4G",22,2015-01-22 23:27:16,0,68,0.002
"phone",49,2012-07-06 22:27:16,3,72,0.024
"phone",59,2015-03-06 23:27:16,0,70,0.001
"fiber",2,2012-03-07 23:27:16,5,52,0.11
"4G",64,2014-11-28 23:27:16,1,78,0.005
"landline",69,2011-06-25 22:27:16,0,105,0.003
"fiber",37,2014-10-22 22:27:16,0,38,0.008
"4G",44,2011-03-01 23:27:16,0,99,0.009
"phone",55,2013-08-12 22:27:16,10,15,0.216
"fiber",51,2014-04-08 22:27:16,2,21,0.061
"4G",8,2015-04-24 22:27:16,5,71,0.01
"phone",17,2010-07-24 22:27:16,6,15,0.318
"phone",43,2011-06-25 22:27:16,0,58,0.01
"landline",61,2012-12-14 23:27:16,9,108,0.018
"4G",37,2012-07-02 22:27:16,0,28,0.023
"phone",56,2013-08-31 22:27:16,1,92,0.006
"landline",4,2015-05-28 22:27:16,1,57,0.001
"4G",39,2012-11-05 23:27:16,0,87,0.007
"landline",29,2014-01-21 23:27:16,1,29,0.008
"4G",19,2012-04-29 22:27:16,0,57,0.012
"fiber",47,2015-04-21 22:27:16,1,34,0.01
"phone",22,2014-01-02 23:27:16,0,60,0.004
"landline",22,2011-10-13 22:27:16,2,109,0.007
"phone",2,2013-03-31 22:27:16,1,100,0.007
"phone",42,2015-05-29 22:27:16,1,21,0.007
"phone",38,2012-08-16 22:27:16,1,57,0.015
"phone",26,2011-12-24 23:27:16,4,44,0.057
"phone",42,2011-04-15 22:27:16,1,40,0.029
"landline",49,2015-01-30 23:27:16,1,108,0.001
"landline",70,2011-06-29 22:27:16,7,72,0.031
"landline",10,2015-05-15 22:27:16,1,77,0.001
"4G",51,2013-04-06 22:27:16,5,55,0.056
"landline",70,2014-10-01 22:27:16,4,110,0.003
"phone",27,2013-01-20 23:27:16,3,31,0.047
"phone",35,2014-05-19 22:27:16,0,47,0.004
"fiber",4,2014-06-13 22:27:16,0,86,0.004
"phone",16,2012-02-24 23:27:16,0,70,0.007
"phone",76,2015-04-17 22:27:16,1,97,0.002
"landline",52,2014-01-23 23:27:16,0,78,0.002
"phone",42,2015-05-21 22:27:16,1,11,0.013
"4G",78,2011-07-20 22:27:16,1,65,0.026
"fiber",22,2011-03-23 23:27:16,2,20,0.179
"4G",73,2015-07-24 22:27:16,2,104,0.002
"phone",75,2011-01-12 23:27:16,0,106,0.006
"phone",75,2011-06-09 22:27:16,0,20,0.028
"phone",6,2012-08-25 22:27:16,9,95,0.044
"4G",75,2011-11-11 23:27:16,2,46,0.051
"4G",49,2012-11-11 23:27:16,1,17,0.069
"phone",59,2012-06-14 22:27:16,1,25,0.035
"landline",80,2011-04-24 22:27:16,8,52,0.051
"4G",58,2014-05-12 22:27:16,2,101,0.009
"phone",57,2010-08-10 22:27:16,1,18,0.075
"landline",25,2014-10-16 22:27:16,0,56,0.001
"4G",70,2010-12-04 23:27:16,1,45,0.042
"fiber",10,2012-04-21 22:27:16,1,65,0.028
"fiber",24,2014-07-04 22:27:16,0,29,0.013
"landline",29,2013-12-17 23:27:16,1,84,0.003
"phone",27,2013-08-19 22:27:16,3,89,0.013
"fiber",17,2011-07-22 22:27:16,0,95,0.012
"phone",33,2015-08-08 22:27:16,2,40,0.003
"4G",16,2012-03-04 23:27:16,2,58,0.037
"4G",57,2013-10-18 22:27:16,0,49,0.008
"phone",80,2015-05-08 22:27:16,1,20,0.008
"phone",73,2011-07-23 22:27:16,2,24,0.069
"landline",5,2012-09-02 22:27:16,0,63,0.003
"phone",42,2012-09-06 22:27:16,0,17,0.024
"4G",22,2015-01-13 23:27:16,3,77,0.009
"phone",3,2015-11-13 23:27:16,2,50,0.001
"4G",73,2014-11-07 23:27:16,0,110,0.002
"fiber",45,2013-09-20 22:27:16,0,46,0.012
"4G",74,2012-05-29 22:27:16,1,51,0.026
"4G",75,2013-05-13 22:27:16,0,44,0.011
"phone",39,2011-10-09 22:27:16,4,94,0.028
"4G",68,2015-07-24 22:27:16,1,24,0.006
"landline",46,2012-01-10 23:27:16,2,55,0.014
"phone",48,2012-05-10 22:27:16,2,103,0.013
"fiber",55,2015-08-22 22:27:16,0,77,0.001
"phone",28,2015-08-24 22:27:16,1,102,0.001
"phone",57,2015-10-21 22:27:16,1,95,0.0
"phone",2,2012-01-19 23:27:16,0,13,0.038
"fiber",54,2011-05-05 22:27:16,2,44,0.079
"phone",1,2011-08-16 22:27:16,0,72,0.008
"fiber",11,2014-09-08 22:27:16,0,108,0.003
"4G",78,2011-05-14 22:27:16,2,28,0.093
"phone",80,2015-07-30 22:27:16,0,20,0.002
"phone",31,2015-08-24 22:27:16,0,108,0.0
"fiber",74,2013-06-25 22:27:16,3,33,0.076
"landline",38,2012-02-24 23:27:16,0,30,0.008
"4G",79,2012-02-29 23:27:16,1,26,0.055
"fiber",62,2013-05-14 22:27:16,0,15,0.044
"phone",33,2011-08-29 22:27:16,5,87,0.037
"4G",60,2015-10-11 22:27:16,6,92,0.003
"landline",72,2012-10-19 22:27:16,1,58,0.007
"phone",16,2011-12-24 23:27:16,0,10,0.05
"landline",2,2015-10-22 22:27:16,0,22,0.0
"landline",32,2011-06-04 22:27:16,0,72,0.004
"phone",4,2012-01-17 23:27:16,0,55,0.009
"4G",52,2014-09-18 22:27:16,0,21,0.011
"4G",5,2014-01-26 23:27:16,0,92,0.004
"phone",46,2015-10-04 22:27:16,10,96,0.003
"phone",52,2013-07-30 22:27:16,2,37,0.024
"4G",52,2013-09-13 22:27:16,1,65,0.013
"landline",79,2011-02-03 23:27:16,5,37,0.05
"4G",76,2010-07-05 22:27:16,2,18,0.172
"phone",16,2011-01-09 23:27:16,0,42,0.015
"4G",49,2014-06-07 22:27:16,0,17,0.017
"phone",28,2013-11-15 23:27:16,1,16,0.033
"phone",42,2010-11-14 23:27:16,1,109,0.012
"4G",71,2012-10-13 22:27:16,3,103,0.023
"4G",37,2011-06-16 22:27:16,1,69,0.025
"landline",45,2010-12-13 23:27:16,0,31,0.01
"landline",49,2015-10-02 22:27:16,0,76,0.0
"fiber",27,2013-08-28 22:27:16,9,34,0.17
"landline",22,2014-05-07 22:27:16,8,46,0.02
"4G",54,2015-03-01 23:27:16,6,81,0.013
"fiber",55,2012-11-07 23:27:16,1,102,0.015
"4G",33,2012-05-13 22:27:16,2,64,0.032
"4G",57,2011-12-04 23:27:16,7,94,0.065
"landline",76,2014-12-19 23:27:16,1,25,0.005
"4G",58,2013-01-09 23:27:16,4,44,0.063
"4G",18,2015-06-11 22:27:16,4,110,0.004
"phone",14,2011-10-31 23:27:16,9,78,0.067
"fiber",44,2012-08-02 22:27:16,7,44,0.154
"fiber",5,2012-02-26 23:27:16,6,89,0.075
"fiber",7,2011-08-26 22:27:16,1,79,0.027
"phone",60,2014-01-27 23:27:16,4,46,0.026
"fiber",40,2012-06-25 22:27:16,2,55,0.048
"landline",16,2011-09-09 22:27:16,0,51,0.005
"phone",19,2013-01-13 23:27:16,1,101,0.007
"phone",39,2012-08-28 22:27:16,5,109,0.023
"landline",6,2011-07-01 22:27:16,0,72,0.004
"4G",53,2011-12-24 23:27:16,0,56,0.013
"phone",25,2014-07-22 22:27:16,1,11,0.032
"fiber",44,2010-08-13 22:27:16,0,48,0.028
"phone",16,2015-03-13 23:27:16,1,25,0.008
"4G",34,2015-11-07 23:27:16,1,17,0.002
"phone",28,2015-08-18 22:27:16,4,97,0.002
"4G",50,2010-11-01 23:27:16,4,55,0.088
"landline",68,2012-05-18 22:27:16,0,25,0.009
"phone",37,2010-07-26 22:27:16,3,107,0.025
"4G",75,2014-11-05 23:27:16,0,11,0.019
"landline",39,2010-09-08 22:27:16,4,69,0.024
"fiber",65,2013-05-30 22:27:16,1,42,0.031
"fiber",52,2010-09-30 22:27:16,0,51,0.026
"4G",75,2015-07-05 22:27:16,7,78,0.009
"4G",23,2012-10-06 22:27:16,7,96,0.05
"landline",9,2012-04-08 22:27:16,1,104,0.004
"4G",37,2013-08-06 22:27:16,8,88,0.046
"fiber",48,2012-06-14 22:27:16,1,29,0.061
"phone",66,2011-03-24 23:27:16,0,26,0.023
"fiber",34,2015-05-06 22:27:16,2,75,0.006
"4G",11,2012-12-23 23:27:16,0,18,0.031
"phone",15,2012-11-07 23:27:16,0,44,0.009
"phone",25,2013-09-10 22:27:16,0,76,0.004
"phone",53,2015-09-19 22:27:16,0,78,0.0
"4G",29,2011-02-05 23:27:16,0,97,0.009
"fiber",36,2010-09-23 22:27:16,2,100,0.04
"fiber",28,2015-04-05 22:27:16,2,13,0.04
"phone",59,2012-04-02 22:27:16,6,47,0.07
"4G",45,2010-07-21 22:27:16,4,16,0.319
"4G",41,2011-12-02 23:27:16,4,30,0.127
"4G",18,2014-03-18 23:27:16,1,51,0.013
"phone",19,2014-04-16 22:27:16,0,90,0.002
"phone",65,2012-10-08 22:27:16,0,107,0.004
"landline",54,2013-06-18 22:27:16,0,77,0.002
"4G",35,2013-09-14 22:27:16,8,18,0.213
"4G",3,2012-08-26 22:27:16,0,20,0.031
"landline",30,2012-08-14 22:27:16,0,31,0.007
"4G",23,2013-01-07 23:27:16,1,85,0.013
"4G",18,2010-10-17 22:27:16,1,76,0.026
"4G",23,2013-10-05 22:27:16,0,29,0.014
"landline",7,2015-08-22 22:27:16,1,55,0.001
"4G",19,2013-12-31 23:27:16,0,25,0.015
"phone",43,2011-11-24 23:27:16,0,79,0.006
"fiber",27,2012-11-19 23:27:16,1,94,0.016
"phone",5,2011-12-23 23:27:16,3,62,0.032
"fiber",42,2012-02-03 23:27:16,0,50,0.019
"phone",72,2015-10-05 22:27:16,0,12,0.002
"landline",24,2010-09-30 22:27:16,0,51,0.006
"4G",34,2015-05-03 22:27:16,7,59,0.016
"phone",67,2015-12-07 23:27:16,0,53,0.0
"4G",22,2011-01-31 23:27:16,2,26,0.106
"phone",46,2014-03-19 23:27:16,0,59,0.004
"fiber",12,2013-07-28 22:27:16,0,106,0.006
"4G",54,2010-08-19 22:27:16,2,55,0.055
"landline",59,2014-11-02 23:27:16,1,32,0.004
"phone",48,2015-08-20 22:27:16,0,14,0.003
"phone",19,2014-07-12 22:27:16,1,91,0.004
"landline",20,2010-10-09 22:27:16,0,84,0.004
"fiber",54,2014-09-22 22:27:16,0,74,0.004
"4G",60,2011-12-14 23:27:16,0,85,0.009
"phone",6,2011-03-31 22:27:16,5,83,0.043
"phone",37,2013-04-08 22:27:16,0,52,0.007
"fiber",11,2014-07-07 22:27:16,4,52,0.035
"landline",16,2013-08-24 22:27:16,0,100,0.001
"phone",33,2014-02-13 23:27:16,0,38,0.006
"phone",79,2013-09-22 22:27:16,4,69,0.02
"phone",78,2014-10-28 23:27:16,0,16,0.009
"4G",61,2015-08-13 22:27:16,0,107,0.001
"landline",9,2013-06-06 22:27:16,2,40,0.012
"phone",36,2015-03-10 23:27:16,0,68,0.001
"phone",79,2015-07-08 22:27:16,0,86,0.001
"4G",12,2015-09-05 22:27:16,0,77,0.001
"4G",1,2014-08-01 22:27:16,2,94,0.008
"4G",61,2013-10-11 22:27:16,5,14,0.176
"phone",11,2012-04-20 22:27:16,0,64,0.007
"fiber",67,2011-08-22 22:27:16,0,59,0.018
"phone",62,2015-05-04 22:27:16,1,60,0.003
"fiber",50,2015-10-17 22:27:16,6,37,0.008
"4G",69,2010-11-12 23:27:16,0,81,0.012
"phone",1,2015-12-09 23:27:16,2,17,0.0
"phone",33,2015-09-14 22:27:16,0,73,0.0
"landline",62,2013-12-26 23:27:16,0,44,0.003
"4G",37,2011-11-23 23:27:16,0,40,0.019
"phone",34,2015-06-11 22:27:16,0,38,0.002
"fiber",17,2015-12-07 23:27:16,1,41,0.0
"phone",55,2011-02-01 23:27:16,9,67,0.092
"fiber",77,2015-04-16 22:27:16,1,65,0.005
"4G",13,2015-08-09 22:27:16,0,100,0.001
"4G",50,2012-03-28 22:27:16,1,104,0.014
"4G",24,2014-06-19 22:27:16,0,17,0.017
"4G",16,2012-09-21 22:27:16,8,32,0.172
"phone",63,2015-01-11 23:27:16,0,29,0.004
"fiber",32,2011-05-10 22:27:16,0,24,0.048
"fiber",78,2011-05-09 22:27:16,1,18,0.129
"4G",34,2011-02-05 23:27:16,4,37,0.124
"4G",26,2012-07-17 22:27:16,1,26,0.05
"phone",16,2015-01-06 23:27:16,1,88,0.003
"4G",9,2015-08-14 22:27:16,2,58,0.003
"fiber",58,2013-08-04 22:27:16,0,92,0.006
"phone",50,2015-06-22 22:27:16,0,80,0.001
"4G",79,2014-01-14 23:27:16,0,95,0.004
"4G",74,2010-07-09 22:27:16,0,88,0.012
"fiber",69,2012-04-08 22:27:16,0,11,0.085
"phone",64,2011-09-19 22:27:16,0,32,0.017
"phone",69,2013-06-12 22:27:16,8,69,0.041
"fiber",24,2013-01-01 23:27:16,0,65,0.011
"4G",76,2013-10-05 22:27:16,1,55,0.015
"phone",45,2010-07-26 22:27:16,0,19,0.036
"4G",53,2012-01-05 23:27:16,2,49,0.046
"fiber",25,2012-02-16 23:27:16,4,86,0.056
"4G",37,2015-06-04 22:27:16,1,79,0.003
"fiber",36,2011-12-17 23:27:16,0,73,0.014
"phone",76,2014-11-23 23:27:16,0,16,0.008
"phone",47,2013-02-23 23:27:16,0,98,0.004
"landline",79,2011-09-12 22:27:16,0,98,0.003
"fiber",56,2012-04-05 22:27:16,1,49,0.038
"4G",30,2012-06-02 22:27:16,3,63,0.042
"phone",9,2011-09-16 22:27:16,1,44,0.024
"4G",53,2015-04-26 22:27:16,0,82,0.001
"landline",64,2011-08-08 22:27:16,0,94,0.003
"4G",76,2014-01-04 23:27:16,6,98,0.026
"landline",17,2012-07-06 22:27:16,0,64,0.003
"landline",70,2012-10-19 22:27:16,9,104,0.019
"phone",35,2014-10-24 22:27:16,1,10,0.029
"4G",48,2012-02-26 23:27:16,1,26,0.055
"landline",62,2012-04-21 22:27:16,0,97,0.002
"4G",66,2013-04-19 22:27:16,0,95,0.005
"4G",23,2015-07-09 22:27:16,4,97,0.004
"phone",70,2014-07-08 22:27:16,10,107,0.019
"4G",12,2014-10-11 22:27:16,2,20,0.033
"fiber",48,2013-03-17 23:27:16,0,31,0.022
"4G",37,2013-03-12 23:27:16,4,100,0.026
"phone",23,2012-04-21 22:27:16,0,14,0.033
"4G",65,2011-02-19 23:27:16,0,95,0.01
"fiber",49,2015-05-06 22:27:16,8,23,0.06
"phone",5,2015-02-17 23:27:16,0,56,0.002
"landline",41,2014-04-11 22:27:16,4,24,0.022
"4G",54,2011-05-24 22:27:16,2,54,0.048
"fiber",76,2012-01-15 23:27:16,0,78,0.013
"fiber",7,2012-05-24 22:27:16,0,78,0.012
"4G",1,2013-05-28 22:27:16,1,84,0.011
"fiber",57,2011-06-27 22:27:16,0,41,0.027
"landline",26,2015-06-26 22:27:16,0,72,0.0
"phone",28,2014-06-17 22:27:16,0,65,0.003
"landline",56,2010-09-22 22:27:16,0,64,0.005
"fiber",35,2014-09-05 22:27:16,0,53,0.006
"4G",5,2015-10-21 22:27:16,2,107,0.001
"phone",25,2013-07-17 22:27:16,1,12,0.051
"phone",18,2011-09-10 22:27:16,0,52,0.01
"phone",15,2012-10-04 22:27:16,0,75,0.005
"fiber",54,2014-03-29 23:27:16,1,87,0.01
"fiber",44,2011-10-01 22:27:16,5,101,0.063
"phone",12,2010-07-28 22:27:16,1,108,0.013
"phone",48,2011-01-17 23:27:16,10,45,0.151
"fiber",7,2011-06-08 22:27:16,0,13,0.088
"fiber",3,2014-08-03 22:27:16,0,91,0.004
"phone",55,2013-09-03 22:27:16,0,108,0.003
"phone",21,2012-01-08 23:27:16,1,89,0.011
"fiber",22,2012-07-29 22:27:16,0,23,0.037
"4G",19,2011-06-30 22:27:16,0,12,0.07
"landline",56,2011-12-25 23:27:16,6,39,0.045
"phone",48,2014-04-30 22:27:16,0,64,0.003
"phone",78,2013-08-22 22:27:16,0,22,0.013
"landline",35,2012-05-27 22:27:16,10,59,0.042
"4G",3,2015-04-01 22:27:16,0,58,0.002
"fiber",10,2015-07-26 22:27:16,0,105,0.001
"4G",13,2014-04-01 22:27:16,0,12,0.027
"phone",35,2011-12-21 23:27:16,0,27,0.019
"phone",20,2011-04-13 22:27:16,1,36,0.033
"4G",67,2014-09-10 22:27:16,1,105,0.005
"landline",11,2015-03-30 22:27:16,9,71,0.006
"phone",24,2011-06-29 22:27:16,7,24,0.188
"4G",47,2013-09-25 22:27:16,9,72,0.058
"fiber",58,2015-03-13 23:27:16,8,22,0.078
"landline",28,2013-01-16 23:27:16,1,92,0.004
"4G",9,2015-06-04 22:27:16,6,44,0.016
"phone",11,2014-08-24 22:27:16,0,42,0.004
"fiber",62,2014-01-13 23:27:16,1,46,0.021
"landline",37,2015-06-20 22:27:16,1,53,0.001
